Freq	Mag	Mag(dB)
0.0	1.000000	0.000000
50.8	1.000000	0.000000
101.6	1.000000	0.000000
152.3	1.000000	0.000000
203.1	1.000000	0.000000
253.9	1.000000	0.000000
304.7	1.000000	0.000000
355.5	1.000000	0.000000
406.2	1.000000	0.000000
457.0	1.000000	0.000000
507.8	1.000000	0.000000
558.6	1.000000	0.000000
609.4	1.000000	0.000000
660.2	1.000000	0.000000
710.9	1.000000	0.000000
761.7	1.000000	0.000000
812.5	1.000000	0.000000
863.3	1.000000	0.000000
914.1	1.000000	0.000000
964.8	1.000000	0.000000
1015.6	514.447998	27.113415
1066.4	544.131104	27.357035
1117.2	1054.765137	30.231556
1168.0	942.499634	29.742813
1218.8	1573.743652	31.969339
1269.5	859.886963	29.344414
1320.3	281.529297	24.495237
1371.1	235.013626	23.710930
1421.9	253.526138	24.040226
1472.7	273.354919	24.367268
1523.4	335.272552	25.253981
1574.2	110.801910	20.445473
1625.0	281.791687	24.499283
1675.8	288.264221	24.597908
1726.6	457.012421	26.599281
1777.3	219.451065	23.413376
1828.1	348.885254	25.426826
1878.9	229.837402	23.614206
1929.7	292.837311	24.666264
1980.5	229.271820	23.603506
2031.2	183.664459	22.640251
2082.0	405.357361	26.078381
2132.8	390.478302	25.915968
2183.6	48.605320	16.866838
2234.4	309.068573	24.900549
2285.2	378.615417	25.781982
2335.9	354.945892	25.501621
2386.7	240.249344	23.806622
2437.5	143.814072	21.578014
2488.3	162.670624	22.113092
2539.1	54.940544	17.398930
2589.8	260.226807	24.153521
2640.6	337.097198	25.277554
2691.4	165.765900	22.194954
2742.2	122.052124	20.865456
2793.0	222.235107	23.468128
2843.8	81.970100	19.136555
2894.5	146.799484	21.667244
2945.3	128.780487	21.098501
2996.1	31.942142	15.043640
3046.9	215.761612	23.339741
3097.7	172.808228	22.375643
3148.4	165.176254	22.179478
3199.2	196.862991	22.941643
3250.0	38.844219	15.893264
3300.8	248.763016	23.957859
3351.6	256.081421	24.083782
3402.3	156.186829	21.936445
3453.1	130.021515	21.140154
3503.9	74.633041	18.729311
3554.7	112.061440	20.494560
3605.5	235.434357	23.718699
3656.2	60.792053	17.838469
3707.0	246.625412	23.920380
3757.8	274.003754	24.377565
3808.6	268.985138	24.297283
3859.4	113.676453	20.556705
3910.2	356.405762	25.519447
3960.9	324.740906	25.115372
4011.7	194.473129	22.888596
4062.5	273.480469	24.369263
4113.3	130.766144	21.164953
4164.1	164.913528	22.172564
4214.8	381.019196	25.809469
4265.6	352.667877	25.473660
4316.4	145.533752	21.629637
4367.2	139.186371	21.435966
4418.0	151.561890	21.805899
4468.8	193.923843	22.876312
4519.5	152.764343	21.840219
4570.3	142.700119	21.544245
4621.1	157.304123	21.967402
4671.9	69.316772	18.408382
4722.7	86.302826	19.360250
4773.4	166.530975	22.214951
4824.2	282.388458	24.508469
4875.0	177.855911	22.500683
4925.8	165.212357	22.180426
4976.6	196.911728	22.942715
5027.3	184.229156	22.653584
5078.1	52.603382	17.210136
5128.9	196.728790	22.938679
5179.7	159.411301	22.025192
5230.5	46.702354	16.693388
5281.2	131.534073	21.190384
5332.0	226.690521	23.554335
5382.8	113.052223	20.532791
5433.6	88.516556	19.470245
5484.4	120.989159	20.827465
5535.2	115.355194	20.620373
5585.9	84.677658	19.277689
5636.7	121.478851	20.845009
5687.5	35.420635	15.492563
5738.3	55.541676	17.446190
5789.1	78.419395	18.944235
5839.8	134.567749	21.289410
5890.6	285.477875	24.555723
5941.4	302.593597	24.808598
5992.2	143.315353	21.562927
6043.0	156.310349	21.939878
6093.8	244.145386	23.876486
6144.5	180.108093	22.555332
6195.3	90.673019	19.574780
6246.1	350.879425	25.451580
6296.9	327.206116	25.148216
6347.7	231.524506	23.645971
6398.4	320.296356	25.055521
6449.2	364.113342	25.612366
6500.0	147.113312	21.676519
6550.8	110.973831	20.452206
6601.6	227.261719	23.565264
6652.3	302.016846	24.800312
